MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
777,35,731,39,137,114
162,6,37,6,13,13
35,0,11,0,0,2
342,9,112,19,14,19
258,105,239,237,172,9
658,80,483,123,13,13
356,80,329,138,17,106
213,5,28,7,7,41
454,0,171,8,19,32
457,4,29,0,0,9
241,45,604,34,26,54
210,0,6,0,0,2
441,35,83,7,29,11
19,13,18,10,7,8
28,9,37,12,7,13
476,75,162,29,151,97
364,40,425,158,60,50
0,0,2,3,3,8
0,6,3,7,6,12
863,83,547,86,99,33
349,7,35,0,0,47
5,23,15,0,18,14
184,2,19,8,8,4
8,0,8,0,0,2
277,21,64,62,21,25
44,5,19,0,4,19
1156,120,915,94,144,96
373,14,83,6,9,19
134,8,76,6,0,11
1148,0,60,0,0,24
6,12,3,21,6,40
4,1,11,0,0,1
5,4,8,2,0,5
24,2,20,2,2,10
899,0,101,0,0,20
108,1,28,13,1,4
27,2,7,0,2,13
816,66,549,216,66,99
1298,0,70,37,14,42
10,0,11,17,29,29
87,13,34,10,6,10
57,2,51,4,2,23
635,15,100,20,7,131
43,12,23,29,15,61
964,34,137,15,0,11
572,8,259,34,35,80
341,142,113,259,151,66
63,6,57,13,13,22
221,104,169,102,78,84
140,3,29,4,5,14
1,2,8,4,3,13
291,10,689,84,10,0
544,13,85,8,6,29
684,100,801,21,66,0
1,12,9,0,14,7
35,0,4,0,0,10
87,3,25,3,2,13
309,3,24,4,3,20
172,73,93,95,78,34
625,38,242,50,34,76
972,59,913,25,19,59
157,6,39,6,13,75
48,9,45,3,15,20
279,83,88,32,14,34
132,0,16,0,0,4
919,0,505,99,30,45
62,0,22,3,1,26
1,45,3,4,6,42
2,6,4,3,1,9
408,61,109,48,122,41
51,1,7,2,1,25
62,1,16,3,2,6
952,12,180,47,12,12
618,15,106,20,7,45
11,7,12,2,2,27
318,3,17,4,7,56
56,0,14,0,0,2
110,5,59,7,1,7
23,0,11,2,1,3
27,5,8,8,3,12
18,3,19,3,3,6
18,0,9,0,1,11
303,0,280,60,147,15
97,1,19,2,0,11
997,15,414,99,30,76
5,4,13,8,0,4
95,11,35,0,4,7
1,6,2,3,6,3
46,1,12,3,0,9
411,106,147,54,115,66
244,51,270,101,0,45
152,9,121,12,12,45
1,1,3,1,1,1
10,17,18,8,26,40
12,0,5,0,0,4
5,0,4,0,0,1
790,19,133,12,0,19
882,29,514,38,29,44
615,28,259,12,48,30
1004,59,265,115,59,27
133,27,421,13,195,71
595,23,123,10,23,154
293,0,87,4,11,23
313,15,47,20,0,192
151,81,86,168,91,64
15,0,2,0,0,6
736,63,946,219,189,126
15,0,8,4,2,20
982,17,672,23,34,51
1142,51,415,90,69,37
28,0,11,0,0,9
46,0,12,0,2,23
897,161,430,186,161,27
489,6,152,8,6,132
25,4,9,6,8,32
145,1,33,2,1,1
630,26,611,44,18,54
760,38,104,50,9,38
420,15,186,151,38,15
125,17,52,3,19,30
464,5,64,7,0,70
6,6,29,12,15,8
1090,12,96,16,12,60
3,2,11,2,2,10
24,0,27,8,30,10
737,21,106,55,63,210
254,6,71,4,0,27
817,185,687,145,55,241
620,54,239,99,98,119
13,4,20,0,0,1
113,61,204,34,26,47
7,23,78,133,49,144
16,2,18,2,1,5
462,0,24,6,0,4
22,2,10,6,4,34
968,147,842,137,42,210
283,112,151,51,72,125
1,2,5,6,0,3
14,1,7,2,1,1
30,5,24,6,3,8
4,0,5,0,1,5
52,0,9,0,0,1
62,1,57,19,11,48
20,2,14,3,0,10
545,7,114,37,21,78
558,79,622,207,175,95
6,5,4,13,4,25
39,1,9,2,0,8
1111,24,790,160,45,172
4,6,8,6,3,10
183,5,65,3,5,49
546,72,376,94,145,72
606,7,155,10,0,54
266,6,51,8,6,64
1142,29,249,38,29,14
1074,0,69,0,0,46
771,51,154,54,10,154
371,32,189,0,58,6
556,14,717,210,0,43
202,5,74,11,5,14
209,162,209,41,162,37
35,40,111,36,40,12
37,0,17,0,0,3
171,45,73,59,10,90
12,2,20,3,2,5
44,4,21,6,0,27
20,2,9,4,6,20
779,86,537,34,69,138
170,6,97,24,12,88
491,48,231,112,105,134
173,8,107,7,2,176
7,10,13,16,0,4
1205,0,235,19,14,205
10,7,25,6,3,7
97,4,44,6,1,18
67,11,26,4,3,262
345,53,528,98,75,97
6,5,17,3,24,46
73,57,100,71,15,0
711,36,217,172,96,168
774,70,118,182,187,93
163,0,480,0,126,75
82,33,54,71,30,41
358,108,413,141,97,32
66,2,40,4,3,14
13,6,7,0,3,3
139,13,78,20,13,36
274,0,21,4,6,15
262,6,61,0,10,102
1099,0,45,0,0,34
32,0,8,23,4,18
2,4,2,0,11,5
6,10,21,19,14,42
6,7,4,3,4,6
135,46,92,65,61,11
641,7,84,0,30,38
714,76,395,116,0,12
794,73,573,0,29,14
420,0,452,182,64,140
1,2,7,4,3,11
86,12,75,33,15,6
823,25,459,124,29,95
231,161,215,171,30,53
8,15,27,0,20,33
182,17,259,77,70,29
557,129,984,193,37,18
79,1,31,4,4,12
368,24,68,38,0,88
6,4,14,8,8,22
160,15,196,15,11,50
488,21,238,56,108,28
691,7,69,0,7,23
543,10,205,160,143,82
254,7,108,20,0,26
5,4,10,2,2,7
112,19,21,16,14,5
134,11,59,15,2,30
143,6,52,11,8,17
51,4,24,4,7,1
27,0,5,0,0,3
459,0,24,6,0,4
689,8,167,11,8,88
283,10,38,0,13,27
347,0,35,4,3,7
5,13,14,0,5,31
280,0,18,0,0,24
187,5,65,26,20,14
95,14,64,2,9,38
84,10,34,11,10,28
19,4,12,2,2,6
5,1,9,2,0,4
18,3,17,3,0,4
992,24,694,51,19,119
25,1,13,0,0,3
9,1,7,0,3,2
19,1,17,2,0,2
709,93,374,104,80,80
158,0,76,13,7,71
10,14,29,4,2,36
25,1,13,0,0,3
8,4,12,15,4,29
14,0,6,0,0,0
622,7,115,30,0,15
11,0,3,0,0,1
25,3,16,8,5,2
635,15,100,20,7,131
100,64,79,65,0,109
201,2,43,3,5,35
642,14,49,0,7,57
97,1,41,6,2,41
204,5,39,17,0,89
513,7,133,46,14,14
88,3,21,4,1,29
172,12,112,8,0,15
329,35,222,130,35,43
296,13,104,11,13,17
100,2,16,2,1,31
422,7,238,69,46,15
1218,16,272,104,0,80
5,1,7,2,1,4
507,93,520,242,40,26
52,12,50,4,36,55
191,56,139,51,8,100
2,23,11,8,6,46
68,28,39,16,30,41
20,4,10,6,4,17
20,3,16,0,4,1
7,0,1,0,0,0
279,172,74,38,8,246
977,12,253,16,12,101
30,1,8,0,0,3
6,1,7,23,4,19
3,18,26,11,8,12
14,0,2,0,0,7
10,1,7,0,0,1
7,10,17,8,6,13
33,87,64,175,16,74
12,0,13,2,0,10
2,3,10,11,2,10
693,21,118,110,147,42
9,3,15,2,3,2
129,26,67,3,67,2
16,2,11,3,0,16
201,2,43,3,5,35
5,4,5,4,2,10
14,36,11,3,26,35
29,12,59,19,1,36
26,2,19,10,5,8
9,1,4,3,2,3
14,0,23,4,5,19
972,19,595,180,26,138
966,168,672,246,105,126
99,27,102,28,48,6
482,35,553,72,160,17
714,8,99,11,0,47
587,54,348,71,54,130
399,27,159,58,8,39
56,10,92,19,7,25
227,151,573,98,54,31
703,102,601,0,58,43
37,0,17,0,0,3
167,13,180,86,13,70
458,81,356,106,50,40
91,3,52,2,1,31
15,8,16,11,5,22
1302,68,731,89,114,45
153,64,123,116,64,14
508,5,21,7,5,10
290,59,177,77,5,29
38,0,2,0,0,6
2,13,6,7,5,11
30,0,10,2,0,5
386,23,95,54,41,196
443,10,75,0,10,48
901,31,345,75,31,191
9,0,3,0,0,1
846,84,352,91,56,42
8,3,9,19,4,22
72,7,58,13,1,24
29,0,5,0,1,5
169,24,553,188,0,144
460,35,422,33,12,153
69,8,26,12,7,12
556,14,717,210,0,43
73,0,13,0,1,0
112,1,54,7,7,36
944,0,60,0,0,30
265,199,303,234,9,170
526,28,135,10,21,99
2,3,12,3,5,7
2,4,9,10,5,16
378,97,259,197,194,34
553,25,142,65,67,8
751,127,687,20,15,31
406,0,30,0,0,8
1449,89,161,69,35,107
123,17,171,39,0,30
267,42,309,55,42,21
209,0,40,3,2,15
1259,172,815,97,148,33
344,35,178,15,23,17
22,3,30,0,5,15
247,161,295,210,85,47
38,0,12,3,1,1
896,10,101,13,10,34
931,56,253,91,98,14
758,12,385,33,89,89
216,9,57,20,9,125
2,3,10,11,2,10
244,15,108,4,15,50
539,6,91,8,6,97
1181,26,120,17,13,39
750,8,125,11,8,26
306,5,109,21,109,92
350,104,189,197,151,57
331,197,170,58,152,35
620,16,165,0,24,82
434,137,400,45,137,45
57,0,27,0,0,36
811,76,428,99,137,107
423,42,706,73,197,197
2,12,10,6,13,30
60,51,87,6,20,51
675,0,85,10,7,77
30,8,12,8,8,12
40,1,40,4,3,18
3,17,26,20,1,39
910,111,724,49,74,55
252,98,827,219,70,196
34,6,21,11,4,8
19,3,19,3,1,3
2,1,1,0,0,1
490,0,184,10,28,21
332,194,377,149,125,57
53,8,17,13,0,21
784,48,560,42,176,48
7,11,3,10,4,20
1171,43,219,19,14,47
215,7,33,3,0,13
674,62,134,0,26,8
57,0,27,0,0,36
5,36,7,0,10,45
104,20,101,24,15,5
9,0,7,2,0,4
431,82,441,80,20,102
1000,0,76,0,0,10
448,40,469,80,0,91
33,4,24,4,2,5
505,72,270,36,27,54
267,38,701,149,165,63
14,0,3,0,0,1
631,0,115,10,7,30
65,4,16,0,4,11
10,12,12,25,1,20
51,4,50,12,1,49
293,35,179,46,59,65
11,1,2,2,1,6
50,1,27,6,7,1
173,26,255,35,71,81
423,184,368,13,97,21
292,30,415,63,33,200
757,80,217,29,80,11
12,1,6,0,1,5
167,2,44,6,2,19
3,1,3,8,0,5
30,5,22,8,9,28
532,88,168,69,44,133
29,12,59,19,1,36
411,0,26,0,0,21
5,3,4,4,1,0
71,99,278,185,121,38
46,0,40,3,0,3
268,11,88,15,3,22
928,63,254,0,12,12
459,15,171,142,23,31
483,0,108,0,6,36
733,9,180,12,19,66
1006,22,115,59,68,45
34,1,14,0,0,5
1156,120,915,94,144,96
7,4,23,7,0,11
244,15,108,4,15,50
233,0,23,0,0,12
35,3,67,10,8,24
1252,0,465,46,35,0
34,4,66,3,10,20
255,43,134,37,14,24
8,1,5,0,0,1
368,32,639,13,43,10
255,47,573,52,32,15
33,8,10,2,10,3
163,23,424,27,65,76
15,0,8,4,2,20
45,12,52,25,22,13
48,58,68,16,66,43
158,6,45,8,2,2
754,160,625,63,32,48
108,1,28,13,1,4
199,66,315,97,174,41
2,7,5,2,15,27
202,5,74,11,5,14
85,0,3,0,0,7
322,3,50,4,3,42
18,2,19,0,2,6
141,8,129,3,11,47
739,107,309,140,80,35
18,0,6,3,3,5
378,0,88,19,4,73
1083,108,649,253,151,108
1016,12,215,16,12,63
23,1,6,0,0,2
12,1,21,2,2,3
35,0,4,0,0,0
548,31,422,0,112,28
342,32,230,34,32,40
365,3,15,4,3,11
397,19,69,12,0,9
456,19,832,75,118,38
5,6,15,11,7,13
836,185,575,24,25,77
100,2,128,23,7,10
10,0,10,3,1,7
238,115,215,169,69,76
6,0,5,2,1,2
158,11,99,15,11,17
86,12,75,33,15,6
856,0,76,12,9,199
98,1,17,0,1,5
4,16,20,0,17,20
398,96,447,220,96,32
313,8,104,6,4,126
109,18,16,24,26,18
216,2,6,0,0,9
595,71,153,120,112,41
123,133,142,71,44,88
16,0,23,3,2,10
11,12,35,3,5,12
410,112,420,0,82,71
159,2,51,6,2,24
105,0,10,0,1,0
5,1,8,0,0,1
269,15,69,15,19,38
629,0,70,0,0,35
443,5,71,21,16,82
217,77,373,111,23,93
24,1,10,2,0,4
9,1,5,4,5,7
8,0,14,2,3,7
1459,0,61,0,15,215
230,48,214,13,32,75
1,3,6,10,0,9
340,21,134,258,14,56
7,1,6,0,3,3
298,7,68,4,0,19
479,35,179,28,7,85
267,140,599,34,12,127
67,4,32,17,2,16
3,1,8,23,2,18
980,37,265,35,163,31
50,4,28,6,3,26
1,0,1725,2,1,1
19,0,5,0,0,8
30,5,23,4,1,4
213,9,76,4,3,30
539,30,92,80,46,38
284,16,160,84,16,134
1003,34,536,134,51,34
239,13,143,45,4,52
51,23,82,33,0,42
527,24,230,32,24,65
19,5,12,10,3,19
40,2,15,8,0,6
21,8,20,15,3,9
593,30,91,29,22,7
21,5,3,10,1,7
1181,107,199,39,30,30
1004,59,265,115,59,27
202,2,46,3,2,10
446,107,768,33,196,53
1184,102,673,52,40,40
390,22,323,104,35,107
726,53,363,123,107,161
8,8,22,24,11,9
50,15,110,39,15,15
1,1,4,11,9,10
308,0,73,0,0,23
22,2,31,7,4,5
690,117,499,76,102,88
43,5,28,7,6,33
27,0,10,0,0,4
6,0,3,0,0,1
205,7,41,3,2,46
24,0,8,0,1,4
667,50,850,21,83,83
691,7,61,10,0,46
493,26,206,116,80,80
493,70,324,146,40,84
494,5,82,7,0,100
621,73,414,78,48,85
9,0,5,0,0,7
1,6,2,8,2,12
12,4,19,12,6,14
243,131,217,85,6,26
11,1,4,2,0,7
532,21,127,26,20,20
29,0,2,0,0,1
612,91,520,258,107,107
387,126,342,0,45,180
56,0,14,0,0,2
6,8,19,16,4,4
582,0,65,0,0,13
6,17,16,6,16,42
70,6,69,2,3,3
962,12,194,16,24,12
112,10,107,30,0,20
293,0,124,179,97,52
199,12,31,3,12,7
1060,61,835,80,20,101
940,44,396,0,88,58
44,2,11,2,3,7
342,51,936,207,35,26
2,10,11,12,9,20
75,12,141,43,39,187
520,20,367,39,81,40
5,3,9,6,2,6
87,5,71,7,12,29
462,61,184,10,53,107
2,2,1,3,1,2
979,44,935,29,25,22
704,129,853,120,74,111
861,31,558,62,95,79
172,3,115,16,0,18
5,7,31,15,4,7
194,2,56,0,0,0
9,7,13,3,2,20
505,72,270,36,27,54
533,10,217,198,174,195
48,0,14,0,0,6
6,1,7,23,4,19
18,2,10,0,0,25
482,147,509,104,107,107
204,97,97,21,118,26
1073,0,250,153,14,14
245,16,223,21,43,16
560,21,442,29,44,29
173,13,131,32,3,6
22,1,11,0,5,3
136,1,12,0,3,32
275,0,86,10,23,66
56,19,29,2,14,25
303,23,751,82,26,191
708,7,62,0,0,15
324,132,693,27,118,88
1,5,3,7,4,8
620,26,195,34,17,141
312,21,206,102,92,149
1493,86,454,112,43,43
918,21,118,13,10,21
98,0,106,49,10,106
3,4,7,15,8,11
380,0,47,6,0,34
15,0,12,7,3,7
3,9,4,7,8,7
24,2,23,0,8,24
80,1,60,4,6,16
31,0,6,2,1,5
138,120,204,16,126,60
166,75,96,119,107,59
12,3,8,8,0,17
178,3,85,71,66,58
707,20,171,65,60,50
5,1,7,17,14,11
465,71,250,93,35,62
16,1,2,0,0,1
358,108,413,141,97,32
1,9,7,2,14,10
123,1,26,2,0,72
40,3,30,10,7,11
102,9,63,2,9,24
347,44,534,17,0,26
376,53,462,168,53,53
21,0,3,0,0,0
194,2,56,0,0,0
64,4,68,7,5,17
206,0,46,3,2,12
71,0,18,0,0,13
71,22,112,138,89,29
0,4,7,11,10,15
93,1,21,0,4,25
920,138,168,36,46,30
653,17,170,34,26,17
199,33,60,8,3,15
153,4,56,0,9,31
376,0,38,11,8,69
46,0,30,12,1,30
600,21,128,223,150,128
425,115,292,23,35,79
18,6,15,12,8,17
52,0,9,0,0,1
734,22,350,151,25,100
34,6,21,11,4,8
135,1,41,10,1,67
11,0,10,0,2,20
163,48,90,0,45,52
29,3,30,3,2,9
734,26,70,11,44,17
340,21,134,258,14,56
453,38,279,188,38,183
1073,0,629,145,37,37
135,0,10,0,4,36
231,7,137,4,15,39
18,0,5,0,0,11
620,16,165,0,24,82
81,4,33,5,2,291
12,4,2,10,6,10
292,51,981,224,23,17
965,34,586,89,86,37
27,2,10,0,0,1
777,30,163,0,51,122
572,8,232,23,62,17
438,169,565,91,169,70
531,69,300,150,138,150
17,0,9,0,0,1
402,35,106,101,77,42
503,27,419,90,139,153
369,9,87,12,14,34
5,0,3,0,0,1
362,17,398,80,35,61
56,0,9,0,0,3
79,1,31,4,4,12
387,84,141,73,35,162
367,17,241,104,188,232
15,0,11,0,2,9
267,6,54,8,3,50
298,27,697,216,24,166
674,92,736,39,0,92
16,14,36,37,22,48
37,4,24,16,9,9
159,0,22,2,1,31
686,17,142,23,26,35
97,3,66,12,7,34
63,6,57,13,13,22
56,5,24,4,0,3
209,19,456,160,142,66
198,2,43,0,12,20
313,15,47,20,0,192
941,14,397,76,58,176
86,4,56,2,4,7
167,48,602,63,72,72
8,3,19,0,2,3
389,66,408,37,57,85
239,7,119,4,15,11
179,21,273,0,21,63
5,0,1,1,1,1
2,6,28,13,4,16
383,0,53,6,4,40
2,8,8,6,1,9
536,27,590,38,107,67
2,1,4,3,1,2
322,53,899,34,40,53
539,169,816,20,0,30
712,50,420,65,38,38
1121,0,72,0,12,12
68,1,13,3,5,13
36,4,18,6,2,18
707,44,603,95,58,29
174,77,203,6,24,97
666,35,124,69,8,26
0,0,0,6,2,6
162,50,100,55,30,27
407,70,239,103,88,53
823,25,459,124,29,95
488,23,71,15,0,59
28,0,13,4,2,8
3,2,10,3,0,2
284,0,52,8,3,20
938,142,754,159,81,183
13,2,15,2,2,8
412,172,153,150,105,57
31,1,8,0,0,8
502,19,132,0,6,26
18,10,3,3,5,0
1,8,6,4,8,16
100,71,243,108,94,219
407,114,445,181,165,203
664,9,240,50,19,57
1045,61,338,60,46,46
1218,107,304,23,143,33
15,0,6,0,1,12
128,0,16,0,1,4
581,49,157,43,8,108
6,3,12,6,1,0
185,8,133,56,56,12
22,1,9,0,0,14
584,100,835,65,83,35
355,30,177,90,138,30
175,10,110,54,6,27
864,134,768,150,38,172
957,153,612,99,95,153
25,6,16,20,0,5
641,7,56,0,0,28
273,86,208,177,14,43
122,21,43,25,10,15
1,4,10,29,0,36
1020,31,430,62,63,79
6,2,3,1,262,3
378,14,68,19,14,14
42,1,18,3,0,4
15,5,14,0,4,11
272,7,80,20,7,11
9,1,24,2,1,2
279,0,18,0,0,9
398,61,265,138,61,53
637,47,237,12,19,76
45,0,16,2,1,6
21,1,9,7,3,5
15,4,13,0,0,19
493,183,352,184,23,28
957,40,175,158,53,107
829,138,430,60,92,15
1017,50,500,65,50,133
953,0,71,0,0,174
159,0,120,0,0,137
32,0,8,23,4,18
23,0,15,0,2,7
18,42,24,15,20,18
15,0,4,0,0,2
23,4,5,10,5,23
200,193,100,46,185,185
1324,27,119,71,108,27
1193,33,281,129,66,33
505,137,401,104,22,22
2,4,9,0,4,5
1103,0,45,0,0,34
353,61,753,40,46,27
652,48,350,94,84,108
379,6,157,25,91,91
46,4,36,2,2,1
162,31,127,8,17,69
8,3,19,3,3,8
17,3,18,3,4,18
340,108,185,130,38,100
8,4,15,3,5,3
154,22,202,39,30,8
710,15,30,20,0,0
8,2,4,0,0,1
2,2,4,13,13,4
1050,14,322,0,14,112
19,1,14,3,2,4
22,0,6,6,2,6
274,83,216,151,141,224
68,6,38,3,6,41
344,45,654,104,11,114
145,193,459,205,26,145
217,38,350,111,85,15
18,7,34,10,2,3
69,8,26,12,7,12
144,0,7,0,0,6
256,34,103,90,29,49
483,72,567,94,12,108
1285,105,653,28,21,0
338,4,89,11,8,13
605,10,345,84,54,32
8,0,7,3,1,1
172,41,86,45,6,27
448,71,951,40,17,17
67,4,32,17,2,16
512,53,98,81,179,89
1462,16,128,0,0,160
20,0,14,7,3,1
50,4,44,10,10,43
102,1,15,2,0,24
499,149,815,173,49,49
381,35,172,56,86,93
631,43,239,128,76,21
526,80,553,123,94,53
913,26,376,17,26,13
673,0,199,37,47,26
23,0,9,0,0,12
199,33,60,8,3,15
261,23,73,4,23,50
111,16,37,7,9,18
16,4,12,2,4,321
63,151,137,153,19,53
58,0,18,2,0,10
29,1,17,0,3,13
3,2,12,0,1,9
28,34,62,11,14,44
40,3,30,10,7,11
879,143,797,106,143,143
62,1,44,6,5,22
280,7,81,20,0,27
9,0,6,3,1,3
182,4,33,0,2,42
83,2,101,64,26,117
38,15,54,3,8,29
228,19,130,4,11,51
1092,37,592,145,37,55
85,15,27,13,13,21
1276,24,746,94,29,48
1017,33,417,108,100,16
6,2,9,2,1,5
448,21,125,52,101,62
504,23,117,179,28,44
226,22,133,41,31,31
239,3,141,0,7,23
90,38,67,33,36,67
7,2,8,3,2,3
4,2,5,2,0,0
16,17,19,20,21,22
10,3,3,0,0,0
68,0,16,0,0,8
35,0,13,2,0,2
575,80,428,208,93,80
315,0,31,4,0,91
182,2,49,17,13,20
561,14,113,10,14,35
587,51,932,180,34,86
94,1,33,13,12,12
908,43,735,40,194,21
228,122,122,208,129,30
995,112,417,42,48,41
11,1,2,2,1,6
3,3,14,15,21,10
12,1,16,4,1,3
17,0,2,0,0,2
8,0,5,0,3,6
22,4,17,12,10,13
14,10,29,4,7,15
106,27,68,52,7,5
820,57,242,45,0,11
753,43,226,69,10,204
13,3,17,7,3,3
9,1,3,0,4,8
19,3,6,4,2,12
520,8,223,32,49,42
5,17,17,13,14,34
618,44,215,0,17,36
315,35,322,46,7,143
15,1,23,0,5,1
384,60,364,119,101,232
110,29,92,28,10,145
208,17,76,36,17,38
555,82,257,93,61,61
240,90,216,63,6,24
11,0,36,15,5,12
848,154,323,201,61,78
202,47,197,55,42,149
433,89,650,16,102,102
6,6,15,10,5,2
37,0,7,3,0,3
167,37,64,49,34,116
45,7,99,4,25,43
129,0,21,0,1,7
713,0,264,120,80,34
676,161,426,210,44,58
450,26,535,73,98,26
22,2,12,0,2,5
367,4,51,6,4,95
526,35,214,69,53,35
51,0,16,0,0,4
25,0,11,3,0,15
28,6,27,12,17,39
958,159,447,20,0,31
532,88,168,69,44,133
724,17,143,0,8,196
375,42,48,94,66,96
39,0,56,20,8,14
23,0,15,0,2,7
587,54,348,71,54,130
29,1,11,0,0,0
757,80,217,29,80,11
544,35,133,23,151,107
40,15,15,17,6,7
1245,33,332,21,33,16
19,1,20,16,14,28
16,3,15,2,1,11
376,4,94,12,9,24
184,178,178,103,39,33
15,0,11,0,2,9
124,83,267,85,59,35
627,120,414,121,80,93
180,60,241,13,54,54
14,0,4,0,0,8
3,3,24,34,7,31
71,1,16,0,0,9
161,0,22,0,0,24
8,26,46,38,9,49
264,0,21,12,6,147
293,6,23,13,6,92
758,12,385,33,89,89
532,126,490,164,126,126
656,38,161,62,47,37
196,25,607,67,17,49
835,73,380,114,73,43
16,11,15,2,0,12
9,1,5,2,1,4
229,7,140,10,3,11
0,1,4,15,1,5
121,24,124,24,15,42
471,102,125,212,61,245
520,8,223,32,49,42
26,1,10,2,0,1
240,132,445,250,192,108
178,4,26,8,4,44
1486,55,278,49,0,185
1115,12,128,33,12,76
29,0,8,2,0,6
529,0,356,63,28,0
13,3,8,7,4,16
934,24,230,16,24,36
2,7,11,16,12,27
4,12,5,3,16,17
62,1,44,6,5,22
158,35,179,0,0,125
173,2,39,3,2,47
830,59,968,51,79,19
189,10,253,56,43,64
728,17,133,11,8,124
7,2,9,2,0,2
35,4,17,7,6,64
188,3,180,20,3,43
742,28,152,25,9,57
0,7,5,26,2,17
750,71,174,13,10,20
816,42,450,55,56,154
5,2,8,2,2,9
37,5,56,12,8,5
4,0,4,0,0,5
99,2,11,4,0,16
176,72,98,136,21,229
54,0,10,0,0,2
997,15,414,99,30,76
356,0,107,19,9,117
1311,0,359,46,89,17
890,63,292,0,25,12
4,0,2,0,0,2
17,0,14,7,3,2
960,0,883,50,38,0
2,1,2,1,1,1
1,3,2,20,30,47
240,67,500,199,0,163
301,11,61,4,7,11
154,0,50,6,11,37
2,3,6,4,1,9
104,12,48,4,12,5
70,3,37,4,2,64
2,0,9,3,6,2
23,2,11,3,1,4
43,4,12,8,0,27
4,24,11,16,1,25
654,7,92,0,15,30
912,72,170,47,36,97
25,0,8,0,1,4
24,4,22,0,2,9
141,11,114,15,14,5
71,0,13,3,1,0
35,1,16,0,1,1
496,32,849,229,48,128
9,9,11,13,10,16
154,0,50,6,11,37
9,1,5,4,5,7
26,3,23,4,7,3
77,8,44,10,10,25
11,2,7,4,2,2
576,7,115,19,7,7
89,15,89,34,42,5
1013,30,399,60,46,153
224,12,48,4,12,12
200,19,111,50,15,19
570,73,614,133,102,73
1,3,3,8,1,13
62,1,20,4,0,7
531,69,300,150,138,150
162,28,818,0,28,56
675,144,133,94,192,241
23,4,10,0,2,15
492,5,32,13,5,21
918,10,129,13,0,129
224,155,155,192,93,54
572,19,286,50,38,248
626,0,70,0,7,28
1074,37,518,193,92,129
741,68,689,224,68,103
322,3,50,4,3,42
254,10,44,30,10,227
116,6,82,6,6,41
22,2,18,0,2,12
516,0,21,0,0,5
14,36,11,3,26,35
2,8,10,12,14,23
28,0,9,3,0,0
530,142,217,62,9,56
519,50,167,130,0,41
611,76,749,59,45,26
240,67,500,199,0,163
4,9,12,11,2,8
671,47,655,145,111,15
23,1,7,0,4,24
9,1,2,3,2,0
556,54,845,202,133,63
833,80,363,52,26,174
12,0,13,4,2,4
56,7,48,10,2,18
293,8,124,11,4,106
297,0,38,13,0,152
39,1,16,2,0,3
5,11,16,21,8,45
266,21,300,65,8,44
322,3,50,4,3,42
366,124,156,71,78,54
32,0,8,23,4,18
158,0,23,0,0,18
269,129,495,182,43,29
41,0,10,0,0,3
3,3,3,15,4,15
33,0,5,0,0,15
302,29,131,32,0,27
519,71,860,93,27,53
23,2,17,2,1,0
594,51,631,72,55,32
12,4,7,1,3,5
4,2,5,0,0,5
18,3,19,3,3,6
332,194,377,149,125,57
5,1,8,0,0,1
171,3,129,26,24,62
270,31,88,11,48,22
712,26,538,69,13,80
2,8,11,3,8,21
21,12,12,0,3,3
580,6,58,8,0,27
368,24,68,38,0,88
457,5,106,15,17,53
229,7,137,4,0,91
32,2,1607,12,4,22
3,2,8,20,0,17
24,3,26,7,1,23
853,10,143,13,10,20
5,1,6,3,4,3
9,14,18,8,1,12
3,3,7,6,2,9
709,43,182,42,118,247
406,0,30,0,0,8
908,48,217,32,12,24
428,30,214,80,30,61
84,3,61,2,1,21
